scenario,condition_name,trial_index,run_label,eventual_success,first_attempt_success,attempts,corrected_attempts,runtime_ms,attempt_value,rolling_attempts,runtime_ms_value,rolling_runtime_ms,cumulative_success_rate,cumulative_first_attempt_rate
key,raw_memory,19,key_raw_memory_019,True,False,2,,8633,2,2.0,8633,8538.333333333334,0.9473684210526315,0.10526315789473684
key,raw_memory,20,key_raw_memory_020,True,False,2,,8528,2,2.0,8528,8553.0,0.95,0.1
key,raw_memory,21,key_raw_memory_021,True,False,2,,8555,2,2.0,8555,8572.0,0.9523809523809523,0.09523809523809523
key,raw_memory,22,key_raw_memory_022,True,False,2,,8553,2,2.0,8553,8545.333333333334,0.9545454545454546,0.09090909090909091
key,raw_memory,23,key_raw_memory_023,True,False,2,,8578,2,2.0,8578,8562.0,0.9565217391304348,0.08695652173913043
key,raw_memory,24,key_raw_memory_024,True,False,2,,8452,2,2.0,8452,8527.666666666666,0.9583333333333334,0.08333333333333333
key,raw_memory,25,key_raw_memory_025,True,False,2,,8474,2,2.0,8474,8501.333333333334,0.96,0.08
key,distilled_memory,1,key_distilled_memory_001,True,True,1,,8040,1,1.0,8040,8040.0,1.0,1.0
key,distilled_memory,2,key_distilled_memory_002,False,False,6,,105441,6,3.5,105441,56740.5,0.5,0.5
key,distilled_memory,3,key_distilled_memory_003,True,True,1,,5939,1,2.6666666666666665,5939,39806.666666666664,0.6666666666666666,0.6666666666666666
key,distilled_memory,4,key_distilled_memory_004,False,False,6,,97907,6,4.333333333333333,97907,69762.33333333333,0.5,0.5
key,distilled_memory,5,key_distilled_memory_005,True,True,1,,6108,1,2.6666666666666665,6108,36651.333333333336,0.6,0.6
key,distilled_memory,6,key_distilled_memory_006,False,False,6,,96743,6,4.333333333333333,96743,66919.33333333333,0.5,0.5
key,distilled_memory,7,key_distilled_memory_007,True,True,1,,6044,1,2.6666666666666665,6044,36298.333333333336,0.5714285714285714,0.5714285714285714
key,distilled_memory,8,key_distilled_memory_008,True,False,2,,12557,2,3.0,12557,38448.0,0.625,0.5
key,distilled_memory,9,key_distilled_memory_009,True,False,2,,8483,2,1.6666666666666667,8483,9028.0,0.6666666666666666,0.4444444444444444
key,distilled_memory,10,key_distilled_memory_010,True,False,2,,8198,2,2.0,8198,9746.0,0.7,0.4
key,distilled_memory,11,key_distilled_memory_011,True,False,2,,8283,2,2.0,8283,8321.333333333334,0.7272727272727273,0.36363636363636365
key,distilled_memory,12,key_distilled_memory_012,True,False,2,,8282,2,2.0,8282,8254.333333333334,0.75,0.3333333333333333
key,distilled_memory,13,key_distilled_memory_013,True,False,2,,8336,2,2.0,8336,8300.333333333334,0.7692307692307693,0.3076923076923077
key,distilled_memory,14,key_distilled_memory_014,True,False,2,,8295,2,2.0,8295,8304.333333333334,0.7857142857142857,0.2857142857142857
key,distilled_memory,15,key_distilled_memory_015,True,False,2,,8375,2,2.0,8375,8335.333333333334,0.8,0.26666666666666666
key,distilled_memory,16,key_distilled_memory_016,True,False,2,,8294,2,2.0,8294,8321.333333333334,0.8125,0.25
key,distilled_memory,17,key_distilled_memory_017,True,False,2,,8252,2,2.0,8252,8307.0,0.8235294117647058,0.23529411764705882
key,distilled_memory,18,key_distilled_memory_018,True,False,2,,8449,2,2.0,8449,8331.666666666666,0.8333333333333334,0.2222222222222222
key,distilled_memory,19,key_distilled_memory_019,True,False,2,,8356,2,2.0,8356,8352.333333333334,0.8421052631578947,0.21052631578947367
key,distilled_memory,20,key_distilled_memory_020,True,False,2,,8366,2,2.0,8366,8390.333333333334,0.85,0.2
key,distilled_memory,21,key_distilled_memory_021,True,False,2,,8422,2,2.0,8422,8381.333333333334,0.8571428571428571,0.19047619047619047
key,distilled_memory,22,key_distilled_memory_022,True,False,2,,8220,2,2.0,8220,8336.0,0.8636363636363636,0.18181818181818182
key,distilled_memory,23,key_distilled_memory_023,True,False,2,,8361,2,2.0,8361,8334.333333333334,0.8695652173913043,0.17391304347826086
key,distilled_memory,24,key_distilled_memory_024,True,False,2,,8195,2,2.0,8195,8258.666666666666,0.875,0.16666666666666666
key,distilled_memory,25,key_distilled_memory_025,True,False,2,,8366,2,2.0,8366,8307.333333333334,0.88,0.16
