scenario,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,attempts,corrected_attempts,duration_seconds,runtime_ms,avg_cpu_percent,max_cpu_percent,avg_rss_mb,max_rss_mb,avg_heap_used_mb,max_heap_used_mb,avg_gpu_util_percent,max_gpu_util_percent,avg_vram_used_mb,max_vram_used_mb,sample_count
lever,baseline_raw,lever-2026-04-01T20-56-14-710Z,lever_baseline_raw_023,runs/lever/raw/lever-2026-04-01T20-56-14-710Z,23,1-25,true,false,2,3,11.68,11678,1.449,7.079,216.585,259.641,68.247,76.46,36.154,85,5292.692,5385,13
lever,baseline_raw,lever-2026-04-01T20-56-32-081Z,lever_baseline_raw_024,runs/lever/raw/lever-2026-04-01T20-56-32-081Z,24,1-25,true,false,5,6,22.716,22714,1.571,6.218,216.181,252.852,69.61,76.802,26.417,79,5313.833,5480,24
lever,baseline_raw,lever-2026-04-01T20-57-01-428Z,lever_baseline_raw_025,runs/lever/raw/lever-2026-04-01T20-57-01-428Z,25,1-25,true,false,5,6,23.217,23215,1.294,5.224,215.335,247.609,71.084,78.414,34,87,5359.583,5553,24
lever,baseline_raw,lever-2026-04-01T20-57-30-708Z,lever_baseline_raw_026,runs/lever/raw/lever-2026-04-01T20-57-30-708Z,26,26-50,true,false,3,4,16.269,16266,1.454,5.573,212.523,250.777,68.9,76.281,29.471,90,5341.176,5561,17
lever,baseline_raw,lever-2026-04-01T20-57-52-798Z,lever_baseline_raw_027,runs/lever/raw/lever-2026-04-01T20-57-52-798Z,27,26-50,true,false,1,2,8.081,8076,2.159,10.011,211.355,256.48,66.775,72.443,56.889,86,5408,5408,9
lever,baseline_raw,lever-2026-04-01T20-58-07-327Z,lever_baseline_raw_028,runs/lever/raw/lever-2026-04-01T20-58-07-327Z,28,26-50,true,true,0,1,4.641,4628,1.669,8.432,213.873,256.891,67.609,72.619,12.167,27,5283.667,5292,6
lever,baseline_raw,lever-2026-04-01T20-58-18-462Z,lever_baseline_raw_029,runs/lever/raw/lever-2026-04-01T20-58-18-462Z,29,26-50,true,true,0,1,4.363,4361,1.827,8.533,212.216,255.211,64.993,70.735,19.5,50,5365.667,5426,6
lever,baseline_raw,lever-2026-04-01T20-58-28-713Z,lever_baseline_raw_030,runs/lever/raw/lever-2026-04-01T20-58-28-713Z,30,26-50,true,false,2,3,11.656,11655,1.928,12.535,216.717,258.641,69.107,76.486,35.462,84,5300.308,5408,13
lever,baseline_raw,lever-2026-04-01T20-58-46-328Z,lever_baseline_raw_031,runs/lever/raw/lever-2026-04-01T20-58-46-328Z,31,26-50,true,true,0,1,4.527,4525,1.586,6.544,207.37,256.957,67.455,73.183,29.667,93,5306.333,5378,6
lever,baseline_raw,lever-2026-04-01T20-58-56-054Z,lever_baseline_raw_032,runs/lever/raw/lever-2026-04-01T20-58-56-054Z,32,26-50,true,false,1,2,7.893,7892,1.531,7.373,208.885,251.977,68.897,74.929,6.111,21,5346.222,5464,9
lever,baseline_raw,lever-2026-04-01T20-59-09-727Z,lever_baseline_raw_033,runs/lever/raw/lever-2026-04-01T20-59-09-727Z,33,26-50,true,true,0,1,4.296,4294,2.044,9.313,214.858,258.543,66.435,70.968,74,84,5406,5406,6
lever,baseline_raw,lever-2026-04-01T20-59-20-206Z,lever_baseline_raw_034,runs/lever/raw/lever-2026-04-01T20-59-20-206Z,34,26-50,true,false,1,2,7.975,7974,1.579,7.52,212.108,255.598,66.96,76.05,11.556,56,5353.556,5426,9
lever,baseline_raw,lever-2026-04-01T20-59-34-249Z,lever_baseline_raw_035,runs/lever/raw/lever-2026-04-01T20-59-34-249Z,35,26-50,true,false,2,3,11.579,11577,1.985,9.04,212.894,254.035,66.944,75.482,57.923,83,5407.154,5443,13
lever,baseline_raw,lever-2026-04-01T20-59-52-837Z,lever_baseline_raw_036,runs/lever/raw/lever-2026-04-01T20-59-52-837Z,36,26-50,true,false,3,4,15.065,15063,1.642,7.313,216.481,258.57,68.354,73.782,25.188,82,4888.563,5465,16
lever,baseline_raw,lever-2026-04-01T21-00-12-759Z,lever_baseline_raw_037,runs/lever/raw/lever-2026-04-01T21-00-12-759Z,37,26-50,true,false,5,6,22.688,22680,1.721,9.709,208.184,257.977,68.298,77.61,33.783,94,4499.217,5791,23
lever,baseline_raw,lever-2026-04-01T21-01-48-265Z,lever_baseline_raw_038,runs/lever/raw/lever-2026-04-01T21-01-48-265Z,38,26-50,true,false,1,2,11.755,11753,0.947,3.128,206.237,247.859,68.922,75.941,85.917,95,5759.5,5801,12
lever,baseline_raw,lever-2026-04-01T21-02-15-965Z,lever_baseline_raw_039,runs/lever/raw/lever-2026-04-01T21-02-15-965Z,39,26-50,false,false,6,6,32.415,32413,0.763,4.196,218.747,257.094,73.065,79.952,64.52,94,5768.92,5897,29
lever,baseline_raw,lever-2026-04-01T21-03-01-801Z,lever_baseline_raw_040,runs/lever/raw/lever-2026-04-01T21-03-01-801Z,40,26-50,true,true,0,1,7.66,7658,1.577,8.75,188.854,220.379,69.352,79.194,78.4,93,5797.2,5798,7
lever,baseline_raw,lever-2026-04-01T21-03-28-645Z,lever_baseline_raw_041,runs/lever/raw/lever-2026-04-01T21-03-28-645Z,41,26-50,true,false,4,5,23.383,23382,1.155,9.502,216.932,248.535,70.472,76.792,81.955,94,5790.227,5879,23
lever,baseline_raw,lever-2026-04-01T21-05-06-039Z,lever_baseline_raw_042,runs/lever/raw/lever-2026-04-01T21-05-06-039Z,42,26-50,true,false,5,6,31.847,31844,0.891,4.669,205.383,242.16,66.564,75.825,64.571,94,5775.821,5892,29
lever,baseline_raw,lever-2026-04-01T21-05-54-877Z,lever_baseline_raw_043,runs/lever/raw/lever-2026-04-01T21-05-54-877Z,43,26-50,true,false,1,2,13.587,13586,0.867,3.471,214.04,249.633,69.451,75.555,67.2,91,5817.6,5850,13
lever,baseline_raw,lever-2026-04-01T21-06-16-426Z,lever_baseline_raw_044,runs/lever/raw/lever-2026-04-01T21-06-16-426Z,44,26-50,true,false,5,6,30.871,30869,0.941,5.822,217.061,247.43,73.761,81.513,81.444,94,5816.63,5902,30
lever,baseline_raw,lever-2026-04-01T21-07-04-071Z,lever_baseline_raw_045,runs/lever/raw/lever-2026-04-01T21-07-04-071Z,45,26-50,true,false,5,6,28.28,28258,0.994,9.618,219.079,259.484,68.969,76.502,81.464,94,5775.429,5891,28
lever,baseline_raw,lever-2026-04-01T21-07-55-483Z,lever_baseline_raw_046,runs/lever/raw/lever-2026-04-01T21-07-55-483Z,46,26-50,true,false,2,3,14.958,14956,0.935,7.518,214.548,255.133,68.035,72.986,57.5,95,5750.286,5889,15
lever,baseline_raw,lever-2026-04-01T21-08-22-703Z,lever_baseline_raw_047,runs/lever/raw/lever-2026-04-01T21-08-22-703Z,47,26-50,true,false,1,2,11.145,11041,1.498,6.879,210.249,256.707,66.72,72.813,71.727,93,5844,5844,11
