scenario,mode_folder,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,stored_attempts,corrected_attempts,duration_seconds,runtime_ms
lever,raw,baseline_raw,lever-2026-03-31T21-43-24-595Z,lever_baseline_raw_033,runs/lever/raw/lever-2026-03-31T21-43-24-595Z,33,26-50,true,true,0,1,4.253,4252
lever,raw,baseline_raw,lever-2026-03-31T21-43-33-850Z,lever_baseline_raw_034,runs/lever/raw/lever-2026-03-31T21-43-33-850Z,34,26-50,true,false,4,5,18.346,18345
lever,raw,baseline_raw,lever-2026-03-31T21-43-57-248Z,lever_baseline_raw_035,runs/lever/raw/lever-2026-03-31T21-43-57-248Z,35,26-50,true,false,3,4,14.805,14804
lever,raw,baseline_raw,lever-2026-03-31T21-44-16-995Z,lever_baseline_raw_036,runs/lever/raw/lever-2026-03-31T21-44-16-995Z,36,26-50,true,false,3,4,14.749,14748
lever,raw,baseline_raw,lever-2026-03-31T21-44-36-698Z,lever_baseline_raw_037,runs/lever/raw/lever-2026-03-31T21-44-36-698Z,37,26-50,true,false,2,3,11.262,11261
lever,raw,baseline_raw,lever-2026-03-31T21-44-52-905Z,lever_baseline_raw_038,runs/lever/raw/lever-2026-03-31T21-44-52-905Z,38,26-50,true,false,3,4,14.776,14775
lever,raw,baseline_raw,lever-2026-03-31T21-45-12-351Z,lever_baseline_raw_039,runs/lever/raw/lever-2026-03-31T21-45-12-351Z,39,26-50,true,false,4,5,18.425,18415
lever,raw,baseline_raw,lever-2026-03-31T21-45-35-797Z,lever_baseline_raw_040,runs/lever/raw/lever-2026-03-31T21-45-35-797Z,40,26-50,true,false,1,2,7.796,7785
lever,raw,baseline_raw,lever-2026-03-31T21-45-48-244Z,lever_baseline_raw_041,runs/lever/raw/lever-2026-03-31T21-45-48-244Z,41,26-50,true,false,4,5,18.263,18262
lever,raw,baseline_raw,lever-2026-03-31T21-46-11-159Z,lever_baseline_raw_042,runs/lever/raw/lever-2026-03-31T21-46-11-159Z,42,26-50,true,false,2,3,11.353,11352
lever,raw,baseline_raw,lever-2026-03-31T21-46-27-093Z,lever_baseline_raw_043,runs/lever/raw/lever-2026-03-31T21-46-27-093Z,43,26-50,true,false,2,3,11.305,11296
lever,raw,baseline_raw,lever-2026-03-31T21-46-43-100Z,lever_baseline_raw_044,runs/lever/raw/lever-2026-03-31T21-46-43-100Z,44,26-50,true,false,3,4,14.801,14800
lever,raw,baseline_raw,lever-2026-03-31T21-47-02-851Z,lever_baseline_raw_045,runs/lever/raw/lever-2026-03-31T21-47-02-851Z,45,26-50,true,false,4,5,18.356,18344
lever,raw,baseline_raw,lever-2026-03-31T21-47-25-993Z,lever_baseline_raw_046,runs/lever/raw/lever-2026-03-31T21-47-25-993Z,46,26-50,true,false,1,2,7.688,7686
lever,raw,baseline_raw,lever-2026-03-31T21-47-38-298Z,lever_baseline_raw_047,runs/lever/raw/lever-2026-03-31T21-47-38-298Z,47,26-50,true,false,2,3,11.324,11322
lever,raw,baseline_raw,lever-2026-03-31T21-47-54-399Z,lever_baseline_raw_048,runs/lever/raw/lever-2026-03-31T21-47-54-399Z,48,26-50,true,true,0,1,4.192,4191
lever,raw,baseline_raw,lever-2026-03-31T21-48-03-668Z,lever_baseline_raw_049,runs/lever/raw/lever-2026-03-31T21-48-03-668Z,49,26-50,true,false,1,2,7.724,7722
lever,raw,baseline_raw,lever-2026-03-31T21-48-16-171Z,lever_baseline_raw_050,runs/lever/raw/lever-2026-03-31T21-48-16-171Z,50,26-50,true,false,5,6,22.006,22004
lever,raw,baseline_raw,lever-2026-03-31T21-48-42-897Z,lever_baseline_raw_051,runs/lever/raw/lever-2026-03-31T21-48-42-897Z,51,51-75,true,false,3,4,14.809,14808
lever,raw,baseline_raw,lever-2026-03-31T21-49-02-737Z,lever_baseline_raw_052,runs/lever/raw/lever-2026-03-31T21-49-02-737Z,52,51-75,true,false,1,2,7.799,7793
lever,raw,baseline_raw,lever-2026-03-31T21-49-15-520Z,lever_baseline_raw_053,runs/lever/raw/lever-2026-03-31T21-49-15-520Z,53,51-75,true,false,5,6,21.888,21887
lever,raw,baseline_raw,lever-2026-03-31T21-49-42-565Z,lever_baseline_raw_054,runs/lever/raw/lever-2026-03-31T21-49-42-565Z,54,51-75,true,false,4,5,18.328,18327
lever,raw,baseline_raw,lever-2026-03-31T21-50-05-857Z,lever_baseline_raw_055,runs/lever/raw/lever-2026-03-31T21-50-05-857Z,55,51-75,true,false,1,2,7.763,7762
lever,raw,baseline_raw,lever-2026-03-31T21-50-18-525Z,lever_baseline_raw_056,runs/lever/raw/lever-2026-03-31T21-50-18-525Z,56,51-75,true,false,5,6,21.932,21931
lever,raw,baseline_raw,lever-2026-03-31T21-50-45-096Z,lever_baseline_raw_057,runs/lever/raw/lever-2026-03-31T21-50-45-096Z,57,51-75,true,true,0,1,4.189,4188
lever,raw,baseline_raw,lever-2026-03-31T21-50-54-412Z,lever_baseline_raw_058,runs/lever/raw/lever-2026-03-31T21-50-54-412Z,58,51-75,true,false,2,3,11.254,11252
lever,raw,baseline_raw,lever-2026-03-31T21-51-10-598Z,lever_baseline_raw_059,runs/lever/raw/lever-2026-03-31T21-51-10-598Z,59,51-75,true,false,2,3,11.248,11247
lever,raw,baseline_raw,lever-2026-03-31T21-51-26-817Z,lever_baseline_raw_060,runs/lever/raw/lever-2026-03-31T21-51-26-817Z,60,51-75,true,false,1,2,7.713,7711
lever,raw,baseline_raw,lever-2026-03-31T21-51-39-251Z,lever_baseline_raw_061,runs/lever/raw/lever-2026-03-31T21-51-39-251Z,61,51-75,true,false,3,4,14.777,14776
lever,raw,baseline_raw,lever-2026-03-31T21-51-58-923Z,lever_baseline_raw_062,runs/lever/raw/lever-2026-03-31T21-51-58-923Z,62,51-75,true,false,3,4,14.775,14772
lever,raw,baseline_raw,lever-2026-03-31T21-52-18-402Z,lever_baseline_raw_063,runs/lever/raw/lever-2026-03-31T21-52-18-402Z,63,51-75,true,false,4,5,18.314,18313
lever,raw,baseline_raw,lever-2026-03-31T21-52-41-629Z,lever_baseline_raw_064,runs/lever/raw/lever-2026-03-31T21-52-41-629Z,64,51-75,true,true,0,1,4.272,4261
